NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
520.27;637.82;-117.55000000000007;73;18;20;Bacharelado;Integral;A;AMPLA;F;2;1;0
534.29;560.33;-26.040000000000077;5;20;2;Bacharelado;Integral;L;D   ;F;1;0;0
580.58;510.43;70.15000000000003;3;18;15;Bacharelado;Matutino;B;AMPLA;F;2;1;0
510.42;519.21;-8.79000000000002;7;18;4;Bacharelado;Integral;L;PPI ;M;2;1;1
680.4;670.72;9.67999999999995;30;19;35;Bacharelado;Integral;A;AMPLA;F;2;1;1
486.09;593.11;-107.02000000000004;18;23;5;Bacharelado;Noturno;L;PPI ;F;1;1;0
694.44;675.12;19.32000000000005;2;18;6;Bacharelado;Integral;A;AMPLA;F;2;1;1
595.94;602.04;-6.099999999999909;7;18;6;Tecnológico;Noturno;L;D   ;F;1;0;0
567.9;561.68;6.220000000000027;16;24;20;Bacharelado;Noturno;B;AMPLA;M;1;1;0
544.35;488.17;56.18000000000001;5;19;6;Bacharelado;Integral;L;PPI ;F;2;1;1
638.01;606.71;31.299999999999955;2;21;4;Bacharelado;Noturno;L;D   ;M;1;1;0
598.18;590.09;8.089999999999918;4;18;7;Bacharelado;Integral;L;PPI ;M;2;0;0
559.21;546.75;12.460000000000036;13;49;4;Licenciatura;Vespertino;V;AMPLA;F;2;1;0
691.63;678.0;13.629999999999995;12;35;30;Bacharelado;Noturno;A;AMPLA;M;1;1;1
620.55;628.74;-8.190000000000055;8;18;6;Bacharelado;Integral;L;PPI ;F;1;0;1
488.89;657.17;-168.27999999999997;16;18;6;Bacharelado;Integral;A;AMPLA;M;1;1;1
547.93;511.03;36.89999999999998;18;21;22;Licenciatura;Integral;B;AMPLA;F;1;1;1
510.52;637.59;-127.07000000000005;45;18;10;Bacharelado;Integral;A;AMPLA;F;1;1;0
638.25;708.34;-70.09000000000003;131;20;27;Bacharelado;Matutino;A;AMPLA;F;1;0;0
704.71;713.04;-8.329999999999927;45;19;30;Bacharelado;Integral;A;AMPLA;F;2;1;0
459.2;;;2;25;6;Bacharelado;Integral;L;D   ;M;1;1;0
493.42;462.32;31.100000000000023;8;18;17;Bacharelado;Noturno;A;AMPLA;M;2;1;0
680.41;766.64;-86.23000000000002;178;24;10;Bacharelado;Integral;L;D   ;F;1;0;0
557.47;795.7;-238.23000000000002;874;20;45;Bacharelado;Integral;A;AMPLA;M;1;1;0
471.01;552.32;-81.31000000000006;25;19;20;Bacharelado;Integral;A;AMPLA;M;1;0;0
625.04;670.27;-45.23000000000002;22;20;6;Bacharelado;Noturno;L;D   ;F;2;0;0
611.52;687.38;-75.86000000000001;156;19;16;Bacharelado;Noturno;V;AMPLA;M;1;1;0
613.22;689.55;-76.32999999999993;105;19;7;Bacharelado;Integral;V;AMPLA;M;1;0;0
665.16;637.14;28.019999999999982;7;22;12;Bacharelado;Integral;A;AMPLA;F;1;1;1
694.67;653.07;41.59999999999991;5;19;30;Bacharelado;Noturno;A;AMPLA;F;1;1;1
585.83;657.28;-71.44999999999993;22;22;7;Bacharelado;Integral;L;D   ;F;2;1;0
578.88;576.54;2.340000000000032;9;18;2;Bacharelado;Vespertino;V;AMPLA;F;1;0;0
694.88;785.79;-90.90999999999997;159;18;9;Bacharelado;Integral;L;D   ;F;2;0;0
584.02;664.22;-80.20000000000005;33;19;7;Bacharelado;Noturno;A;AMPLA;F;2;1;1
610.92;648.73;-37.81000000000006;38;20;9;Bacharelado;Integral;L;PPI ;F;1;1;0
507.78;519.21;-11.430000000000064;8;22;4;Bacharelado;Integral;L;PPI ;M;1;1;1
550.74;;;22;21;16;Licenciatura;Integral;V;AMPLA;F;2;1;0
572.85;492.9;79.95000000000005;8;18;17;Licenciatura;Vespertino;B;AMPLA;F;1;1;1
645.48;755.54;-110.05999999999995;58;29;3;Bacharelado;Integral;L;D   ;M;1;1;1
754.68;752.28;2.3999999999999773;15;31;20;Bacharelado;Integral;B;AMPLA;F;1;1;1
511.98;510.02;1.9600000000000364;5;18;6;Licenciatura;Matutino;L;PPI ;F;1;1;1
576.34;574.57;1.7699999999999818;7;20;8;Licenciatura;Integral;L;D   ;F;2;1;0
578.56;572.71;5.849999999999909;3;55;4;Bacharelado;Integral;L;PPI ;F;1;1;1
449.12;633.12;-184.0;23;28;4;Bacharelado;Integral;L;D   ;F;2;1;1
470.51;;;6;26;17;Licenciatura;Matutino;A;AMPLA;M;1;0;0
732.07;747.23;-15.159999999999968;169;23;90;Bacharelado;Integral;A;AMPLA;M;1;1;1
482.42;512.38;-29.95999999999998;14;19;7;Bacharelado;Noturno;L;PPI ;F;1;1;0
645.02;646.84;-1.82000000000005;14;20;7;Bacharelado;Noturno;A;AMPLA;M;1;1;0
648.11;639.58;8.529999999999973;15;20;25;Bacharelado;Integral;A;AMPLA;F;1;0;0
523.04;;;8;18;10;Licenciatura;Matutino;A;AMPLA;F;2;0;0
548.82;743.18;-194.3599999999999;150;29;20;Bacharelado;Integral;A;AMPLA;F;1;1;0
549.8;637.5;-87.70000000000005;56;19;25;Bacharelado;Integral;A;AMPLA;F;2;1;0
650.92;647.28;3.6399999999999864;5;24;6;Bacharelado;Noturno;L;PPI ;F;1;1;1
622.94;622.94;0.0;4;20;4;Bacharelado;Integral;L;D   ;M;1;1;0
630.04;594.52;35.51999999999998;1;21;5;Bacharelado;Integral;L;PPI ;M;2;1;1
474.06;487.66;-13.600000000000023;24;20;22;Bacharelado;Noturno;A;AMPLA;M;2;1;0
652.21;616.72;35.49000000000001;1;45;8;Bacharelado;Integral;L;PPI ;M;2;1;0
726.4;750.44;-24.040000000000077;61;23;13;Bacharelado;Integral;L;D   ;F;1;1;0
645.71;678.0;-32.289999999999964;91;21;30;Bacharelado;Noturno;A;AMPLA;F;1;1;0
551.05;617.42;-66.37;16;21;5;Bacharelado;Noturno;L;D   ;F;2;1;0
