NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
637.46;590.13;47.33000000000004;11;21;21;Bacharelado;Integral;A;AMPLA;M;2;1;1
644.09;590.13;53.960000000000036;8;45;21;Bacharelado;Integral;A;AMPLA;M;1;0;0
611.66;590.13;21.529999999999973;18;19;21;Bacharelado;Integral;A;AMPLA;M;2;0;0
527.14;;;2;18;5;Bacharelado;Integral;L;PPI ;F;1;1;1
519.21;;;3;19;5;Bacharelado;Integral;L;PPI ;M;1;1;1
531.3;;;1;19;5;Bacharelado;Integral;L;PPI ;F;1;1;1
517.65;;;4;65;5;Bacharelado;Integral;L;PPI ;F;1;1;1
545.27;545.27;0.0;4;19;4;Bacharelado;Integral;L;D   ;M;2;1;1
555.71;545.27;10.440000000000055;1;26;4;Bacharelado;Integral;L;D   ;M;1;1;1
555.59;545.27;10.32000000000005;2;19;4;Bacharelado;Integral;L;D   ;F;1;1;1
537.72;545.27;-7.5499999999999545;5;18;4;Bacharelado;Integral;L;D   ;F;1;1;0
549.61;545.27;4.340000000000032;3;20;4;Bacharelado;Integral;L;D   ;M;1;1;1
553.24;550.61;2.6299999999999955;3;20;4;Bacharelado;Integral;L;D   ;F;1;1;1
579.01;550.61;28.399999999999977;1;20;4;Bacharelado;Integral;L;D   ;M;1;1;1
550.61;550.61;0.0;4;26;4;Bacharelado;Integral;L;D   ;F;1;1;1
558.58;550.61;7.970000000000027;2;63;4;Bacharelado;Integral;L;D   ;F;1;1;0
660.9;682.65;-21.75;29;19;15;Bacharelado;Integral;A;AMPLA;F;2;1;0
595.07;682.65;-87.57999999999993;54;21;15;Bacharelado;Integral;A;AMPLA;F;2;0;0
699.33;682.65;16.680000000000064;1;19;15;Bacharelado;Integral;A;AMPLA;F;1;0;1
635.96;682.65;-46.68999999999994;45;18;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
655.86;682.65;-26.789999999999964;34;22;15;Bacharelado;Integral;A;AMPLA;F;2;1;0
655.72;682.65;-26.92999999999995;35;25;15;Bacharelado;Integral;A;AMPLA;F;2;1;0
670.92;682.65;-11.730000000000018;23;18;15;Bacharelado;Integral;A;AMPLA;M;2;1;0
689.66;682.65;7.009999999999991;8;31;15;Bacharelado;Integral;A;AMPLA;F;2;1;0
651.37;682.65;-31.279999999999973;39;20;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
